------------------------------------------------------------
Server listening on TCP port 5001
TCP congestion control set to bbr
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.4 port 5001 connected with 10.0.0.2 port 59796 (icwnd/mss/irtt=14/1448/3341)
[  2] local 10.0.0.4 port 5001 connected with 10.0.0.1 port 38804 (icwnd/mss/irtt=14/1448/4532)
[  3] local 10.0.0.4 port 5001 connected with 10.0.0.3 port 45158 (icwnd/mss/irtt=14/1448/1336)
[ ID] Interval       Transfer     Bandwidth
[  3] 0.0000-0.1000 sec  0.397 GBytes  3.97 GBytes/sec
[  1] 0.0000-0.1000 sec  0.415 GBytes  4.15 GBytes/sec
[  2] 0.0000-0.1000 sec  0.553 GBytes  5.53 GBytes/sec
[  3] 0.1000-0.2000 sec  0.463 GBytes  4.63 GBytes/sec
[  1] 0.1000-0.2000 sec  0.440 GBytes  4.40 GBytes/sec
[  2] 0.1000-0.2000 sec  0.546 GBytes  5.46 GBytes/sec
[  3] 0.2000-0.3000 sec  0.437 GBytes  4.37 GBytes/sec
[  1] 0.2000-0.3000 sec  0.428 GBytes  4.28 GBytes/sec
[  2] 0.2000-0.3000 sec  0.547 GBytes  5.47 GBytes/sec
[  1] 0.3000-0.4000 sec  0.422 GBytes  4.22 GBytes/sec
[  2] 0.3000-0.4000 sec  0.576 GBytes  5.76 GBytes/sec
[  3] 0.3000-0.4000 sec  0.468 GBytes  4.68 GBytes/sec
[  3] 0.4000-0.5000 sec  0.458 GBytes  4.58 GBytes/sec
[  1] 0.4000-0.5000 sec  0.477 GBytes  4.77 GBytes/sec
[  2] 0.4000-0.5000 sec  0.423 GBytes  4.23 GBytes/sec
[  3] 0.5000-0.6000 sec  0.473 GBytes  4.73 GBytes/sec
[  1] 0.5000-0.6000 sec  0.293 GBytes  2.93 GBytes/sec
[  2] 0.5000-0.6000 sec  0.424 GBytes  4.24 GBytes/sec
[  3] 0.6000-0.7000 sec  0.443 GBytes  4.43 GBytes/sec
[  1] 0.6000-0.7000 sec  0.428 GBytes  4.28 GBytes/sec
[  2] 0.6000-0.7000 sec  0.546 GBytes  5.46 GBytes/sec
[  3] 0.7000-0.8000 sec  0.445 GBytes  4.45 GBytes/sec
[  1] 0.7000-0.8000 sec  0.430 GBytes  4.30 GBytes/sec
[  2] 0.7000-0.8000 sec  0.554 GBytes  5.54 GBytes/sec
[  3] 0.8000-0.9000 sec  0.442 GBytes  4.42 GBytes/sec
[  1] 0.8000-0.9000 sec  0.436 GBytes  4.36 GBytes/sec
[  2] 0.8000-0.9000 sec  0.570 GBytes  5.70 GBytes/sec
[  3] 0.9000-1.0000 sec  0.454 GBytes  4.54 GBytes/sec
[  1] 0.9000-1.0000 sec  0.429 GBytes  4.29 GBytes/sec
[  2] 0.9000-1.0000 sec  0.565 GBytes  5.65 GBytes/sec
[  3] 1.0000-1.1000 sec  0.385 GBytes  3.85 GBytes/sec
[  1] 1.0000-1.1000 sec  0.431 GBytes  4.31 GBytes/sec
[  2] 1.0000-1.1000 sec  0.354 GBytes  3.54 GBytes/sec
[  3] 1.1000-1.2000 sec  0.314 GBytes  3.14 GBytes/sec
[  1] 1.1000-1.2000 sec  0.320 GBytes  3.20 GBytes/sec
[  2] 1.1000-1.2000 sec  0.547 GBytes  5.47 GBytes/sec
[  1] 1.2000-1.3000 sec  0.332 GBytes  3.32 GBytes/sec
[  3] 1.2000-1.3000 sec  0.341 GBytes  3.41 GBytes/sec
[  2] 1.2000-1.3000 sec  0.594 GBytes  5.94 GBytes/sec
[  3] 1.3000-1.4000 sec  0.299 GBytes  2.99 GBytes/sec
[  1] 1.3000-1.4000 sec  0.307 GBytes  3.07 GBytes/sec
[  2] 1.3000-1.4000 sec  0.534 GBytes  5.34 GBytes/sec
[  3] 1.4000-1.5000 sec  0.315 GBytes  3.15 GBytes/sec
[  1] 1.4000-1.5000 sec  0.354 GBytes  3.54 GBytes/sec
[  2] 1.4000-1.5000 sec  0.618 GBytes  6.18 GBytes/sec
[  3] 1.5000-1.6000 sec  0.320 GBytes  3.20 GBytes/sec
[  1] 1.5000-1.6000 sec  0.346 GBytes  3.46 GBytes/sec
[  2] 1.5000-1.6000 sec  0.595 GBytes  5.95 GBytes/sec
[  1] 1.6000-1.7000 sec  0.344 GBytes  3.44 GBytes/sec
[  2] 1.6000-1.7000 sec  0.609 GBytes  6.09 GBytes/sec
[  3] 1.6000-1.7000 sec  0.331 GBytes  3.31 GBytes/sec
[  3] 1.7000-1.8000 sec  0.317 GBytes  3.17 GBytes/sec
[  1] 1.7000-1.8000 sec  0.329 GBytes  3.29 GBytes/sec
[  2] 1.7000-1.8000 sec  0.591 GBytes  5.91 GBytes/sec
[  3] 1.8000-1.9000 sec  0.299 GBytes  2.99 GBytes/sec
[  1] 1.8000-1.9000 sec  0.385 GBytes  3.85 GBytes/sec
[  2] 1.8000-1.9000 sec  0.496 GBytes  4.96 GBytes/sec
[  3] 1.9000-2.0000 sec  0.332 GBytes  3.32 GBytes/sec
[  1] 1.9000-2.0000 sec  0.393 GBytes  3.93 GBytes/sec
[  2] 1.9000-2.0000 sec  0.566 GBytes  5.66 GBytes/sec
[  3] 2.0000-2.1000 sec  0.314 GBytes  3.14 GBytes/sec
[  1] 2.0000-2.1000 sec  0.412 GBytes  4.12 GBytes/sec
[  2] 2.0000-2.1000 sec  0.547 GBytes  5.47 GBytes/sec
[  3] 2.1000-2.2000 sec  0.333 GBytes  3.33 GBytes/sec
[  1] 2.1000-2.2000 sec  0.373 GBytes  3.73 GBytes/sec
[  2] 2.1000-2.2000 sec  0.533 GBytes  5.33 GBytes/sec
[  3] 2.2000-2.3000 sec  0.309 GBytes  3.09 GBytes/sec
[  1] 2.2000-2.3000 sec  0.400 GBytes  4.00 GBytes/sec
[  2] 2.2000-2.3000 sec  0.543 GBytes  5.43 GBytes/sec
[  3] 2.3000-2.4000 sec  0.317 GBytes  3.17 GBytes/sec
[  1] 2.3000-2.4000 sec  0.375 GBytes  3.75 GBytes/sec
[  2] 2.3000-2.4000 sec  0.540 GBytes  5.40 GBytes/sec
[  3] 2.4000-2.5000 sec  0.325 GBytes  3.25 GBytes/sec
[  1] 2.4000-2.5000 sec  0.413 GBytes  4.13 GBytes/sec
[  2] 2.4000-2.5000 sec  0.548 GBytes  5.48 GBytes/sec
[  1] 2.5000-2.6000 sec  0.427 GBytes  4.27 GBytes/sec
[  2] 2.5000-2.6000 sec  0.545 GBytes  5.45 GBytes/sec
[  3] 2.5000-2.6000 sec  0.325 GBytes  3.25 GBytes/sec
[  3] 2.6000-2.7000 sec  0.307 GBytes  3.07 GBytes/sec
[  1] 2.6000-2.7000 sec  0.414 GBytes  4.14 GBytes/sec
[  2] 2.6000-2.7000 sec  0.565 GBytes  5.65 GBytes/sec
[  3] 2.7000-2.8000 sec  0.308 GBytes  3.08 GBytes/sec
[  1] 2.7000-2.8000 sec  0.403 GBytes  4.03 GBytes/sec
[  2] 2.7000-2.8000 sec  0.559 GBytes  5.59 GBytes/sec
[  3] 2.8000-2.9000 sec  0.332 GBytes  3.32 GBytes/sec
[  1] 2.8000-2.9000 sec  0.364 GBytes  3.64 GBytes/sec
[  2] 2.8000-2.9000 sec  0.535 GBytes  5.35 GBytes/sec
[  3] 2.9000-3.0000 sec  0.290 GBytes  2.90 GBytes/sec
[  1] 2.9000-3.0000 sec  0.443 GBytes  4.43 GBytes/sec
[  2] 2.9000-3.0000 sec  0.567 GBytes  5.67 GBytes/sec
[  1] 3.0000-3.1000 sec  0.410 GBytes  4.10 GBytes/sec
[  3] 3.0000-3.1000 sec  0.315 GBytes  3.15 GBytes/sec
[  2] 3.0000-3.1000 sec  0.539 GBytes  5.39 GBytes/sec
[  3] 3.1000-3.2000 sec  0.323 GBytes  3.23 GBytes/sec
[  1] 3.1000-3.2000 sec  0.387 GBytes  3.87 GBytes/sec
[  2] 3.1000-3.2000 sec  0.554 GBytes  5.54 GBytes/sec
[  3] 3.2000-3.3000 sec  0.310 GBytes  3.10 GBytes/sec
[  1] 3.2000-3.3000 sec  0.438 GBytes  4.38 GBytes/sec
[  2] 3.2000-3.3000 sec  0.546 GBytes  5.46 GBytes/sec
[  3] 3.3000-3.4000 sec  0.329 GBytes  3.29 GBytes/sec
[  1] 3.3000-3.4000 sec  0.403 GBytes  4.03 GBytes/sec
[  2] 3.3000-3.4000 sec  0.532 GBytes  5.32 GBytes/sec
[  3] 3.4000-3.5000 sec  0.318 GBytes  3.18 GBytes/sec
[  1] 3.4000-3.5000 sec  0.387 GBytes  3.87 GBytes/sec
[  2] 3.4000-3.5000 sec  0.547 GBytes  5.47 GBytes/sec
[  1] 3.5000-3.6000 sec  0.436 GBytes  4.36 GBytes/sec
[  2] 3.5000-3.6000 sec  0.526 GBytes  5.26 GBytes/sec
[  3] 3.5000-3.6000 sec  0.316 GBytes  3.16 GBytes/sec
[  3] 3.6000-3.7000 sec  0.322 GBytes  3.22 GBytes/sec
[  1] 3.6000-3.7000 sec  0.395 GBytes  3.95 GBytes/sec
[  2] 3.6000-3.7000 sec  0.560 GBytes  5.60 GBytes/sec
[  3] 3.7000-3.8000 sec  0.321 GBytes  3.21 GBytes/sec
[  1] 3.7000-3.8000 sec  0.428 GBytes  4.28 GBytes/sec
