------------------------------------------------------------
Server listening on TCP port 5001
TCP congestion control set to cubic
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.4 port 5001 connected with 10.0.0.3 port 38326 (icwnd/mss/irtt=14/1448/478)
[  2] local 10.0.0.4 port 5001 connected with 10.0.0.2 port 45304 (icwnd/mss/irtt=14/1448/1119)
[  3] local 10.0.0.4 port 5001 connected with 10.0.0.1 port 56996 (icwnd/mss/irtt=14/1448/2083)
[ ID] Interval       Transfer     Bandwidth
[  3] 0.0000-0.1000 sec  0.695 GBytes  6.95 GBytes/sec
[  1] 0.0000-0.1000 sec  0.807 GBytes  8.07 GBytes/sec
[  2] 0.0000-0.1000 sec  0.678 GBytes  6.78 GBytes/sec
[  3] 0.1000-0.2000 sec  0.790 GBytes  7.90 GBytes/sec
[  1] 0.1000-0.2000 sec  0.859 GBytes  8.59 GBytes/sec
[  2] 0.1000-0.2000 sec  0.828 GBytes  8.28 GBytes/sec
[  3] 0.2000-0.3000 sec  0.816 GBytes  8.16 GBytes/sec
[  1] 0.2000-0.3000 sec  0.896 GBytes  8.96 GBytes/sec
[  2] 0.2000-0.3000 sec  0.813 GBytes  8.13 GBytes/sec
[  1] 0.3000-0.4000 sec  1.02 GBytes  10.2 GBytes/sec
[  2] 0.3000-0.4000 sec  0.834 GBytes  8.34 GBytes/sec
[  3] 0.3000-0.4000 sec  0.822 GBytes  8.22 GBytes/sec
[  3] 0.4000-0.5000 sec  0.799 GBytes  7.99 GBytes/sec
[  1] 0.4000-0.5000 sec  0.894 GBytes  8.94 GBytes/sec
[  2] 0.4000-0.5000 sec  0.786 GBytes  7.86 GBytes/sec
[  3] 0.5000-0.6000 sec  0.796 GBytes  7.96 GBytes/sec
[  1] 0.5000-0.6000 sec  0.868 GBytes  8.68 GBytes/sec
[  2] 0.5000-0.6000 sec  0.844 GBytes  8.44 GBytes/sec
[  3] 0.6000-0.7000 sec  0.819 GBytes  8.19 GBytes/sec
[  1] 0.6000-0.7000 sec  0.972 GBytes  9.72 GBytes/sec
[  2] 0.6000-0.7000 sec  0.829 GBytes  8.29 GBytes/sec
[  3] 0.7000-0.8000 sec  0.801 GBytes  8.01 GBytes/sec
[  1] 0.7000-0.8000 sec  1.02 GBytes  10.2 GBytes/sec
[  2] 0.7000-0.8000 sec  0.833 GBytes  8.33 GBytes/sec
[  1] 0.8000-0.9000 sec  1.03 GBytes  10.3 GBytes/sec
[  2] 0.8000-0.9000 sec  0.822 GBytes  8.22 GBytes/sec
[  3] 0.8000-0.9000 sec  0.839 GBytes  8.39 GBytes/sec
[  3] 0.9000-1.0000 sec  0.820 GBytes  8.20 GBytes/sec
[  1] 0.9000-1.0000 sec  1.12 GBytes  11.2 GBytes/sec
[  2] 0.9000-1.0000 sec  0.841 GBytes  8.41 GBytes/sec
[  3] 1.0000-1.1000 sec  0.790 GBytes  7.90 GBytes/sec
[  1] 1.0000-1.1000 sec  1.10 GBytes  11.0 GBytes/sec
[  2] 1.0000-1.1000 sec  0.827 GBytes  8.27 GBytes/sec
[  3] 1.1000-1.2000 sec  0.802 GBytes  8.02 GBytes/sec
[  1] 1.1000-1.2000 sec  0.866 GBytes  8.66 GBytes/sec
[  2] 1.1000-1.2000 sec  0.803 GBytes  8.03 GBytes/sec
[  3] 1.2000-1.3000 sec  0.785 GBytes  7.85 GBytes/sec
[  1] 1.2000-1.3000 sec  0.857 GBytes  8.57 GBytes/sec
[  2] 1.2000-1.3000 sec  0.821 GBytes  8.21 GBytes/sec
[  3] 1.3000-1.4000 sec  0.785 GBytes  7.85 GBytes/sec
[  1] 1.3000-1.4000 sec  0.871 GBytes  8.71 GBytes/sec
[  2] 1.3000-1.4000 sec  0.827 GBytes  8.27 GBytes/sec
[  1] 1.4000-1.5000 sec  0.917 GBytes  9.17 GBytes/sec
[  3] 1.4000-1.5000 sec  0.775 GBytes  7.75 GBytes/sec
[  2] 1.4000-1.5000 sec  0.781 GBytes  7.81 GBytes/sec
[  3] 1.5000-1.6000 sec  0.804 GBytes  8.04 GBytes/sec
[  1] 1.5000-1.6000 sec  0.844 GBytes  8.44 GBytes/sec
[  2] 1.5000-1.6000 sec  0.821 GBytes  8.21 GBytes/sec
[  3] 1.6000-1.7000 sec  0.791 GBytes  7.91 GBytes/sec
[  1] 1.6000-1.7000 sec  0.876 GBytes  8.76 GBytes/sec
[  2] 1.6000-1.7000 sec  0.790 GBytes  7.90 GBytes/sec
[  3] 1.7000-1.8000 sec  0.790 GBytes  7.90 GBytes/sec
[  1] 1.7000-1.8000 sec  0.924 GBytes  9.24 GBytes/sec
[  2] 1.7000-1.8000 sec  0.840 GBytes  8.40 GBytes/sec
[  3] 1.8000-1.9000 sec  0.789 GBytes  7.89 GBytes/sec
[  1] 1.8000-1.9000 sec  0.941 GBytes  9.41 GBytes/sec
[  2] 1.8000-1.9000 sec  0.816 GBytes  8.16 GBytes/sec
[  1] 1.9000-2.0000 sec  0.947 GBytes  9.47 GBytes/sec
[  3] 1.9000-2.0000 sec  0.805 GBytes  8.05 GBytes/sec
[  2] 1.9000-2.0000 sec  0.800 GBytes  8.00 GBytes/sec
[  3] 2.0000-2.1000 sec  0.791 GBytes  7.91 GBytes/sec
[  1] 2.0000-2.1000 sec  0.969 GBytes  9.69 GBytes/sec
[  2] 2.0000-2.1000 sec  0.821 GBytes  8.21 GBytes/sec
[  3] 2.1000-2.2000 sec  0.762 GBytes  7.62 GBytes/sec
[  1] 2.1000-2.2000 sec  0.866 GBytes  8.66 GBytes/sec
[  2] 2.1000-2.2000 sec  0.801 GBytes  8.01 GBytes/sec
[  3] 2.2000-2.3000 sec  0.786 GBytes  7.86 GBytes/sec
[  1] 2.2000-2.3000 sec  1.09 GBytes  10.9 GBytes/sec
[  2] 2.2000-2.3000 sec  0.836 GBytes  8.36 GBytes/sec
[  1] 2.3000-2.4000 sec  1.09 GBytes  10.9 GBytes/sec
[  2] 2.3000-2.4000 sec  0.818 GBytes  8.18 GBytes/sec
[  3] 2.3000-2.4000 sec  0.791 GBytes  7.91 GBytes/sec
[  3] 2.4000-2.5000 sec  0.777 GBytes  7.77 GBytes/sec
[  1] 2.4000-2.5000 sec  0.908 GBytes  9.08 GBytes/sec
[  2] 2.4000-2.5000 sec  0.801 GBytes  8.01 GBytes/sec
