------------------------------------------------------------
Server listening on TCP port 5001
TCP congestion control set to reno
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.4 port 5001 connected with 10.0.0.3 port 38312 (icwnd/mss/irtt=14/1448/569)
[  2] local 10.0.0.4 port 5001 connected with 10.0.0.2 port 45300 (icwnd/mss/irtt=14/1448/1972)
[  3] local 10.0.0.4 port 5001 connected with 10.0.0.1 port 56992 (icwnd/mss/irtt=14/1448/1956)
[ ID] Interval       Transfer     Bandwidth
[  3] 0.0000-0.1000 sec  0.364 GBytes  3.64 GBytes/sec
[  2] 0.0000-0.1000 sec  0.720 GBytes  7.20 GBytes/sec
[  1] 0.0000-0.1000 sec  0.484 GBytes  4.84 GBytes/sec
[  2] 0.1000-0.2000 sec  0.827 GBytes  8.27 GBytes/sec
[  1] 0.1000-0.2000 sec  0.398 GBytes  3.98 GBytes/sec
[  3] 0.1000-0.2000 sec  0.417 GBytes  4.16 GBytes/sec
[  2] 0.2000-0.3000 sec  0.861 GBytes  8.61 GBytes/sec
[  1] 0.2000-0.3000 sec  0.438 GBytes  4.38 GBytes/sec
[  3] 0.2000-0.3000 sec  0.447 GBytes  4.47 GBytes/sec
[  2] 0.3000-0.4000 sec  0.866 GBytes  8.66 GBytes/sec
[  3] 0.3000-0.4000 sec  0.400 GBytes  4.00 GBytes/sec
[  1] 0.3000-0.4000 sec  0.517 GBytes  5.17 GBytes/sec
[  3] 0.4000-0.5000 sec  0.372 GBytes  3.72 GBytes/sec
[  2] 0.4000-0.5000 sec  0.802 GBytes  8.02 GBytes/sec
[  1] 0.4000-0.5000 sec  0.431 GBytes  4.31 GBytes/sec
[  3] 0.5000-0.6000 sec  0.457 GBytes  4.57 GBytes/sec
[  2] 0.5000-0.6000 sec  0.836 GBytes  8.36 GBytes/sec
[  1] 0.5000-0.6000 sec  0.396 GBytes  3.96 GBytes/sec
[  3] 0.6000-0.7000 sec  0.417 GBytes  4.17 GBytes/sec
[  2] 0.6000-0.7000 sec  0.783 GBytes  7.83 GBytes/sec
[  1] 0.6000-0.7000 sec  0.392 GBytes  3.92 GBytes/sec
[  2] 0.7000-0.8000 sec  0.852 GBytes  8.52 GBytes/sec
[  1] 0.7000-0.8000 sec  0.458 GBytes  4.58 GBytes/sec
[  3] 0.7000-0.8000 sec  0.390 GBytes  3.90 GBytes/sec
[  1] 0.8000-0.9000 sec  0.457 GBytes  4.57 GBytes/sec
[  3] 0.8000-0.9000 sec  0.392 GBytes  3.92 GBytes/sec
[  2] 0.8000-0.9000 sec  0.801 GBytes  8.01 GBytes/sec
[  3] 0.9000-1.0000 sec  0.411 GBytes  4.11 GBytes/sec
[  2] 0.9000-1.0000 sec  0.817 GBytes  8.17 GBytes/sec
[  1] 0.9000-1.0000 sec  0.463 GBytes  4.63 GBytes/sec
[  3] 1.0000-1.1000 sec  0.427 GBytes  4.27 GBytes/sec
[  2] 1.0000-1.1000 sec  0.809 GBytes  8.09 GBytes/sec
[  1] 1.0000-1.1000 sec  0.394 GBytes  3.94 GBytes/sec
[  2] 1.1000-1.2000 sec  0.823 GBytes  8.23 GBytes/sec
[  1] 1.1000-1.2000 sec  0.386 GBytes  3.86 GBytes/sec
[  3] 1.1000-1.2000 sec  0.466 GBytes  4.66 GBytes/sec
[  2] 1.2000-1.3000 sec  0.804 GBytes  8.04 GBytes/sec
[  1] 1.2000-1.3000 sec  0.465 GBytes  4.65 GBytes/sec
[  3] 1.2000-1.3000 sec  0.358 GBytes  3.58 GBytes/sec
[  3] 1.3000-1.4000 sec  0.457 GBytes  4.57 GBytes/sec
[  2] 1.3000-1.4000 sec  0.845 GBytes  8.45 GBytes/sec
[  1] 1.3000-1.4000 sec  0.432 GBytes  4.32 GBytes/sec
[  3] 1.4000-1.5000 sec  0.464 GBytes  4.64 GBytes/sec
[  2] 1.4000-1.5000 sec  0.810 GBytes  8.10 GBytes/sec
[  1] 1.4000-1.5000 sec  0.405 GBytes  4.05 GBytes/sec
[  3] 1.5000-1.6000 sec  0.385 GBytes  3.85 GBytes/sec
[  2] 1.5000-1.6000 sec  0.790 GBytes  7.90 GBytes/sec
[  1] 1.5000-1.6000 sec  0.423 GBytes  4.23 GBytes/sec
[  2] 1.6000-1.7000 sec  0.816 GBytes  8.16 GBytes/sec
[  1] 1.6000-1.7000 sec  0.375 GBytes  3.75 GBytes/sec
[  3] 1.6000-1.7000 sec  0.465 GBytes  4.65 GBytes/sec
[  1] 1.7000-1.8000 sec  0.478 GBytes  4.78 GBytes/sec
[  3] 1.7000-1.8000 sec  0.372 GBytes  3.72 GBytes/sec
[  2] 1.7000-1.8000 sec  0.783 GBytes  7.83 GBytes/sec
[  3] 1.8000-1.9000 sec  0.473 GBytes  4.73 GBytes/sec
[  2] 1.8000-1.9000 sec  0.854 GBytes  8.54 GBytes/sec
[  1] 1.8000-1.9000 sec  0.460 GBytes  4.60 GBytes/sec
[  3] 1.9000-2.0000 sec  0.443 GBytes  4.43 GBytes/sec
