------------------------------------------------------------
Server listening on TCP port 5001
TCP congestion control set to vegas
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.4 port 5001 connected with 10.0.0.3 port 39670 (icwnd/mss/irtt=14/1448/2158)
[  2] local 10.0.0.4 port 5001 connected with 10.0.0.1 port 45376 (icwnd/mss/irtt=14/1448/5205)
[  3] local 10.0.0.4 port 5001 connected with 10.0.0.2 port 47348 (icwnd/mss/irtt=14/1448/5446)
[ ID] Interval       Transfer     Bandwidth
[  2] 0.0000-0.1000 sec  0.440 GBytes  4.40 GBytes/sec
[  3] 0.0000-0.1000 sec  0.555 GBytes  5.55 GBytes/sec
[  1] 0.0000-0.1000 sec  0.570 GBytes  5.70 GBytes/sec
[  2] 0.1000-0.2000 sec  0.615 GBytes  6.14 GBytes/sec
[  3] 0.1000-0.2000 sec  0.847 GBytes  8.47 GBytes/sec
[  1] 0.1000-0.2000 sec  0.660 GBytes  6.60 GBytes/sec
[  2] 0.2000-0.3000 sec  0.585 GBytes  5.85 GBytes/sec
[  1] 0.2000-0.3000 sec  0.618 GBytes  6.18 GBytes/sec
[  3] 0.2000-0.3000 sec  0.752 GBytes  7.52 GBytes/sec
[  1] 0.3000-0.4000 sec  0.668 GBytes  6.68 GBytes/sec
[  2] 0.3000-0.4000 sec  0.632 GBytes  6.32 GBytes/sec
[  3] 0.3000-0.4000 sec  0.754 GBytes  7.54 GBytes/sec
[  1] 0.4000-0.5000 sec  0.545 GBytes  5.45 GBytes/sec
[  2] 0.4000-0.5000 sec  0.740 GBytes  7.40 GBytes/sec
[  3] 0.4000-0.5000 sec  0.812 GBytes  8.12 GBytes/sec
[  2] 0.5000-0.6000 sec  0.942 GBytes  9.42 GBytes/sec
[  3] 0.5000-0.6000 sec  0.748 GBytes  7.48 GBytes/sec
[  1] 0.5000-0.6000 sec  0.809 GBytes  8.09 GBytes/sec
[  2] 0.6000-0.7000 sec  0.943 GBytes  9.43 GBytes/sec
[  3] 0.6000-0.7000 sec  0.721 GBytes  7.21 GBytes/sec
[  1] 0.6000-0.7000 sec  0.776 GBytes  7.76 GBytes/sec
[  2] 0.7000-0.8000 sec  0.824 GBytes  8.24 GBytes/sec
[  1] 0.7000-0.8000 sec  0.756 GBytes  7.56 GBytes/sec
[  3] 0.7000-0.8000 sec  0.713 GBytes  7.13 GBytes/sec
[  1] 0.8000-0.9000 sec  0.771 GBytes  7.71 GBytes/sec
[  2] 0.8000-0.9000 sec  0.887 GBytes  8.87 GBytes/sec
[  3] 0.8000-0.9000 sec  0.722 GBytes  7.22 GBytes/sec
[  2] 0.9000-1.0000 sec  0.843 GBytes  8.43 GBytes/sec
[  3] 0.9000-1.0000 sec  0.721 GBytes  7.21 GBytes/sec
[  1] 0.9000-1.0000 sec  0.767 GBytes  7.67 GBytes/sec
[  2] 1.0000-1.1000 sec  0.964 GBytes  9.64 GBytes/sec
[  3] 1.0000-1.1000 sec  0.739 GBytes  7.39 GBytes/sec
[  1] 1.0000-1.1000 sec  0.769 GBytes  7.69 GBytes/sec
[  2] 1.1000-1.2000 sec  0.972 GBytes  9.72 GBytes/sec
[  3] 1.1000-1.2000 sec  0.733 GBytes  7.33 GBytes/sec
[  1] 1.1000-1.2000 sec  0.751 GBytes  7.51 GBytes/sec
[  2] 1.2000-1.3000 sec  0.934 GBytes  9.34 GBytes/sec
