------------------------------------------------------------
Server listening on TCP port 5001
TCP congestion control set to bbr
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.4 port 5001 connected with 10.0.0.3 port 34734 (icwnd/mss/irtt=14/1448/1713)
[  2] local 10.0.0.4 port 5001 connected with 10.0.0.1 port 41234 (icwnd/mss/irtt=14/1448/3260)
[  3] local 10.0.0.4 port 5001 connected with 10.0.0.2 port 35622 (icwnd/mss/irtt=14/1448/4561)
[ ID] Interval       Transfer     Bandwidth
[  2] 0.0000-0.1000 sec  0.358 GBytes  3.58 GBytes/sec
[  3] 0.0000-0.1000 sec  0.311 GBytes  3.11 GBytes/sec
[  1] 0.0000-0.1000 sec  0.390 GBytes  3.90 GBytes/sec
[  2] 0.1000-0.2000 sec  0.341 GBytes  3.41 GBytes/sec
[  3] 0.1000-0.2000 sec  0.374 GBytes  3.74 GBytes/sec
[  1] 0.1000-0.2000 sec  0.461 GBytes  4.61 GBytes/sec
[  2] 0.2000-0.3000 sec  0.329 GBytes  3.29 GBytes/sec
[  3] 0.2000-0.3000 sec  0.365 GBytes  3.65 GBytes/sec
[  1] 0.2000-0.3000 sec  0.577 GBytes  5.77 GBytes/sec
[  2] 0.3000-0.4000 sec  0.312 GBytes  3.12 GBytes/sec
[  1] 0.3000-0.4000 sec  0.538 GBytes  5.38 GBytes/sec
[  3] 0.3000-0.4000 sec  0.435 GBytes  4.35 GBytes/sec
[  1] 0.4000-0.5000 sec  0.583 GBytes  5.83 GBytes/sec
[  2] 0.4000-0.5000 sec  0.307 GBytes  3.07 GBytes/sec
[  3] 0.4000-0.5000 sec  0.428 GBytes  4.28 GBytes/sec
[  2] 0.5000-0.6000 sec  0.317 GBytes  3.17 GBytes/sec
[  3] 0.5000-0.6000 sec  0.414 GBytes  4.14 GBytes/sec
[  1] 0.5000-0.6000 sec  0.540 GBytes  5.40 GBytes/sec
[  2] 0.6000-0.7000 sec  0.324 GBytes  3.24 GBytes/sec
[  3] 0.6000-0.7000 sec  0.389 GBytes  3.89 GBytes/sec
[  1] 0.6000-0.7000 sec  0.551 GBytes  5.51 GBytes/sec
[  2] 0.7000-0.8000 sec  0.331 GBytes  3.31 GBytes/sec
