------------------------------------------------------------
Server listening on TCP port 5001
TCP congestion control set to cubic
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.4 port 5001 connected with 10.0.0.3 port 42198 (icwnd/mss/irtt=14/1448/1614)
[  2] local 10.0.0.4 port 5001 connected with 10.0.0.1 port 46450 (icwnd/mss/irtt=14/1448/6492)
[  3] local 10.0.0.4 port 5001 connected with 10.0.0.2 port 49250 (icwnd/mss/irtt=14/1448/6365)
[ ID] Interval       Transfer     Bandwidth
[  3] 0.0000-0.1000 sec  0.598 GBytes  5.98 GBytes/sec
[  2] 0.0000-0.1000 sec  0.496 GBytes  4.96 GBytes/sec
[  1] 0.0000-0.1000 sec  0.565 GBytes  5.65 GBytes/sec
[  3] 0.1000-0.2000 sec  0.429 GBytes  4.29 GBytes/sec
[  2] 0.1000-0.2000 sec  0.538 GBytes  5.38 GBytes/sec
[  1] 0.1000-0.2000 sec  0.699 GBytes  6.99 GBytes/sec
[  3] 0.2000-0.3000 sec  0.417 GBytes  4.17 GBytes/sec
[  1] 0.2000-0.3000 sec  0.675 GBytes  6.75 GBytes/sec
[  2] 0.2000-0.3000 sec  0.534 GBytes  5.34 GBytes/sec
[  1] 0.3000-0.4000 sec  0.694 GBytes  6.94 GBytes/sec
[  3] 0.3000-0.4000 sec  0.516 GBytes  5.16 GBytes/sec
[  2] 0.3000-0.4000 sec  0.469 GBytes  4.69 GBytes/sec
[  1] 0.4000-0.5000 sec  0.698 GBytes  6.98 GBytes/sec
[  3] 0.4000-0.5000 sec  0.471 GBytes  4.71 GBytes/sec
[  2] 0.4000-0.5000 sec  0.480 GBytes  4.80 GBytes/sec
[  3] 0.5000-0.6000 sec  0.536 GBytes  5.36 GBytes/sec
[  2] 0.5000-0.6000 sec  0.418 GBytes  4.18 GBytes/sec
[  1] 0.5000-0.6000 sec  0.769 GBytes  7.69 GBytes/sec
[  3] 0.6000-0.7000 sec  0.664 GBytes  6.64 GBytes/sec
[  2] 0.6000-0.7000 sec  0.779 GBytes  7.79 GBytes/sec
[  1] 0.6000-0.7000 sec  0.671 GBytes  6.71 GBytes/sec
[  3] 0.7000-0.8000 sec  0.685 GBytes  6.85 GBytes/sec
[  2] 0.7000-0.8000 sec  0.790 GBytes  7.90 GBytes/sec
[  1] 0.7000-0.8000 sec  0.689 GBytes  6.89 GBytes/sec
[  1] 0.8000-0.9000 sec  0.683 GBytes  6.83 GBytes/sec
[  3] 0.8000-0.9000 sec  0.684 GBytes  6.84 GBytes/sec
[  2] 0.8000-0.9000 sec  0.864 GBytes  8.64 GBytes/sec
[  1] 0.9000-1.0000 sec  0.691 GBytes  6.91 GBytes/sec
[  3] 0.9000-1.0000 sec  0.663 GBytes  6.63 GBytes/sec
[  2] 0.9000-1.0000 sec  0.826 GBytes  8.26 GBytes/sec
[  1] 1.0000-1.1000 sec  0.671 GBytes  6.71 GBytes/sec
[  3] 1.0000-1.1000 sec  0.696 GBytes  6.96 GBytes/sec
[  2] 1.0000-1.1000 sec  0.927 GBytes  9.27 GBytes/sec
[  3] 1.1000-1.2000 sec  0.705 GBytes  7.05 GBytes/sec
[  2] 1.1000-1.2000 sec  0.945 GBytes  9.45 GBytes/sec
[  1] 1.1000-1.2000 sec  0.723 GBytes  7.23 GBytes/sec
[  3] 1.2000-1.3000 sec  0.702 GBytes  7.02 GBytes/sec
[  2] 1.2000-1.3000 sec  0.885 GBytes  8.85 GBytes/sec
[  1] 1.2000-1.3000 sec  0.714 GBytes  7.14 GBytes/sec
[  2] 1.3000-1.4000 sec  0.702 GBytes  7.02 GBytes/sec
[  1] 1.3000-1.4000 sec  0.703 GBytes  7.03 GBytes/sec
[  3] 1.3000-1.4000 sec  0.682 GBytes  6.82 GBytes/sec
[  1] 1.4000-1.5000 sec  0.705 GBytes  7.05 GBytes/sec
[  3] 1.4000-1.5000 sec  0.702 GBytes  7.02 GBytes/sec
[  2] 1.4000-1.5000 sec  0.837 GBytes  8.37 GBytes/sec
[  3] 1.5000-1.6000 sec  0.700 GBytes  7.00 GBytes/sec
[  2] 1.5000-1.6000 sec  0.881 GBytes  8.81 GBytes/sec
[  1] 1.5000-1.6000 sec  0.713 GBytes  7.13 GBytes/sec
[  3] 1.6000-1.7000 sec  0.658 GBytes  6.58 GBytes/sec
[  2] 1.6000-1.7000 sec  0.948 GBytes  9.48 GBytes/sec
[  1] 1.6000-1.7000 sec  0.676 GBytes  6.76 GBytes/sec
[  3] 1.7000-1.8000 sec  0.619 GBytes  6.19 GBytes/sec
[  2] 1.7000-1.8000 sec  0.947 GBytes  9.47 GBytes/sec
[  1] 1.7000-1.8000 sec  0.641 GBytes  6.41 GBytes/sec
[  2] 1.8000-1.9000 sec  0.824 GBytes  8.24 GBytes/sec
[  1] 1.8000-1.9000 sec  0.630 GBytes  6.30 GBytes/sec
[  3] 1.8000-1.9000 sec  0.632 GBytes  6.32 GBytes/sec
[  1] 1.9000-2.0000 sec  0.706 GBytes  7.06 GBytes/sec
[  3] 1.9000-2.0000 sec  0.703 GBytes  7.03 GBytes/sec
[  2] 1.9000-2.0000 sec  0.991 GBytes  9.91 GBytes/sec
[  3] 2.0000-2.1000 sec  0.684 GBytes  6.84 GBytes/sec
[  2] 2.0000-2.1000 sec  0.964 GBytes  9.64 GBytes/sec
[  1] 2.0000-2.1000 sec  0.709 GBytes  7.09 GBytes/sec
[  3] 2.1000-2.2000 sec  0.684 GBytes  6.84 GBytes/sec
[  2] 2.1000-2.2000 sec  0.953 GBytes  9.53 GBytes/sec
[  1] 2.1000-2.2000 sec  0.702 GBytes  7.02 GBytes/sec
[  3] 2.2000-2.3000 sec  0.685 GBytes  6.85 GBytes/sec
[  2] 2.2000-2.3000 sec  0.929 GBytes  9.29 GBytes/sec
[  1] 2.2000-2.3000 sec  0.721 GBytes  7.21 GBytes/sec
[  1] 2.3000-2.4000 sec  0.677 GBytes  6.77 GBytes/sec
[  3] 2.3000-2.4000 sec  0.685 GBytes  6.85 GBytes/sec
[  2] 2.3000-2.4000 sec  0.891 GBytes  8.91 GBytes/sec
[  1] 2.4000-2.5000 sec  0.692 GBytes  6.92 GBytes/sec
[  3] 2.4000-2.5000 sec  0.684 GBytes  6.84 GBytes/sec
[  2] 2.4000-2.5000 sec  0.905 GBytes  9.05 GBytes/sec
[  3] 2.5000-2.6000 sec  0.680 GBytes  6.80 GBytes/sec
[  2] 2.5000-2.6000 sec  0.946 GBytes  9.46 GBytes/sec
[  1] 2.5000-2.6000 sec  0.699 GBytes  6.99 GBytes/sec
[  3] 2.6000-2.7000 sec  0.673 GBytes  6.73 GBytes/sec
[  2] 2.6000-2.7000 sec  0.939 GBytes  9.39 GBytes/sec
[  1] 2.6000-2.7000 sec  0.713 GBytes  7.13 GBytes/sec
[  2] 2.7000-2.8000 sec  0.904 GBytes  9.04 GBytes/sec
[  1] 2.7000-2.8000 sec  0.708 GBytes  7.08 GBytes/sec
[  3] 2.7000-2.8000 sec  0.676 GBytes  6.76 GBytes/sec
[  1] 2.8000-2.9000 sec  0.691 GBytes  6.91 GBytes/sec
[  3] 2.8000-2.9000 sec  0.672 GBytes  6.72 GBytes/sec
[  2] 2.8000-2.9000 sec  0.856 GBytes  8.56 GBytes/sec
[  1] 2.9000-3.0000 sec  0.625 GBytes  6.25 GBytes/sec
[  3] 2.9000-3.0000 sec  0.611 GBytes  6.11 GBytes/sec
[  2] 2.9000-3.0000 sec  0.877 GBytes  8.77 GBytes/sec
[  3] 3.0000-3.1000 sec  0.615 GBytes  6.15 GBytes/sec
[  2] 3.0000-3.1000 sec  0.903 GBytes  9.03 GBytes/sec
[  1] 3.0000-3.1000 sec  0.637 GBytes  6.37 GBytes/sec
[  3] 3.1000-3.2000 sec  0.657 GBytes  6.57 GBytes/sec
[  2] 3.1000-3.2000 sec  0.899 GBytes  8.99 GBytes/sec
[  1] 3.1000-3.2000 sec  0.664 GBytes  6.64 GBytes/sec
[  2] 3.2000-3.3000 sec  0.842 GBytes  8.42 GBytes/sec
[  1] 3.2000-3.3000 sec  0.565 GBytes  5.65 GBytes/sec
[  3] 3.2000-3.3000 sec  0.547 GBytes  5.47 GBytes/sec
[  1] 3.3000-3.4000 sec  0.658 GBytes  6.58 GBytes/sec
[  3] 3.3000-3.4000 sec  0.623 GBytes  6.23 GBytes/sec
[  2] 3.3000-3.4000 sec  0.907 GBytes  9.07 GBytes/sec
[  3] 3.4000-3.5000 sec  0.672 GBytes  6.72 GBytes/sec
[  2] 3.4000-3.5000 sec  0.855 GBytes  8.55 GBytes/sec
[  1] 3.4000-3.5000 sec  0.691 GBytes  6.91 GBytes/sec
[  3] 3.5000-3.6000 sec  0.680 GBytes  6.80 GBytes/sec
[  2] 3.5000-3.6000 sec  0.922 GBytes  9.22 GBytes/sec
[  1] 3.5000-3.6000 sec  0.687 GBytes  6.87 GBytes/sec
[  3] 3.6000-3.7000 sec  0.718 GBytes  7.18 GBytes/sec
[  2] 3.6000-3.7000 sec  0.874 GBytes  8.74 GBytes/sec
[  1] 3.6000-3.7000 sec  0.687 GBytes  6.87 GBytes/sec
[  2] 3.7000-3.8000 sec  0.913 GBytes  9.13 GBytes/sec
