------------------------------------------------------------
Server listening on TCP port 5001
TCP congestion control set to reno
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.4 port 5001 connected with 10.0.0.3 port 42190 (icwnd/mss/irtt=14/1448/1636)
[  2] local 10.0.0.4 port 5001 connected with 10.0.0.2 port 49240 (icwnd/mss/irtt=14/1448/1819)
[  3] local 10.0.0.4 port 5001 connected with 10.0.0.1 port 46446 (icwnd/mss/irtt=14/1448/2027)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-0.1000 sec  0.401 GBytes  4.01 GBytes/sec
[  3] 0.0000-0.1000 sec  0.341 GBytes  3.41 GBytes/sec
[  2] 0.0000-0.1000 sec  0.373 GBytes  3.73 GBytes/sec
[  3] 0.1000-0.2000 sec  0.520 GBytes  5.20 GBytes/sec
[  1] 0.1000-0.2000 sec  1.01 GBytes  10.1 GBytes/sec
[  2] 0.1000-0.2000 sec  0.598 GBytes  5.98 GBytes/sec
[  3] 0.2000-0.3000 sec  0.561 GBytes  5.61 GBytes/sec
[  1] 0.2000-0.3000 sec  0.920 GBytes  9.20 GBytes/sec
[  2] 0.2000-0.3000 sec  0.619 GBytes  6.19 GBytes/sec
[  3] 0.3000-0.4000 sec  0.628 GBytes  6.28 GBytes/sec
[  1] 0.3000-0.4000 sec  0.999 GBytes  9.99 GBytes/sec
[  2] 0.3000-0.4000 sec  0.639 GBytes  6.39 GBytes/sec
[  3] 0.4000-0.5000 sec  0.600 GBytes  6.00 GBytes/sec
[  1] 0.4000-0.5000 sec  0.952 GBytes  9.52 GBytes/sec
[  2] 0.4000-0.5000 sec  0.591 GBytes  5.91 GBytes/sec
[  1] 0.5000-0.6000 sec  1.09 GBytes  10.9 GBytes/sec
[  3] 0.5000-0.6000 sec  0.618 GBytes  6.18 GBytes/sec
[  2] 0.5000-0.6000 sec  0.670 GBytes  6.70 GBytes/sec
[  3] 0.6000-0.7000 sec  0.594 GBytes  5.94 GBytes/sec
[  1] 0.6000-0.7000 sec  1.02 GBytes  10.2 GBytes/sec
[  2] 0.6000-0.7000 sec  0.617 GBytes  6.17 GBytes/sec
[  3] 0.7000-0.8000 sec  0.601 GBytes  6.01 GBytes/sec
[  1] 0.7000-0.8000 sec  1.03 GBytes  10.3 GBytes/sec
[  2] 0.7000-0.8000 sec  0.621 GBytes  6.21 GBytes/sec
[  3] 0.8000-0.9000 sec  0.571 GBytes  5.71 GBytes/sec
[  1] 0.8000-0.9000 sec  0.939 GBytes  9.39 GBytes/sec
[  2] 0.8000-0.9000 sec  0.610 GBytes  6.10 GBytes/sec
[  3] 0.9000-1.0000 sec  0.593 GBytes  5.93 GBytes/sec
[  1] 0.9000-1.0000 sec  0.970 GBytes  9.70 GBytes/sec
[  2] 0.9000-1.0000 sec  0.624 GBytes  6.24 GBytes/sec
[  3] 1.0000-1.1000 sec  0.610 GBytes  6.10 GBytes/sec
[  1] 1.0000-1.1000 sec  1.01 GBytes  10.1 GBytes/sec
[  2] 1.0000-1.1000 sec  0.625 GBytes  6.25 GBytes/sec
[  3] 1.1000-1.2000 sec  0.588 GBytes  5.88 GBytes/sec
[  1] 1.1000-1.2000 sec  0.898 GBytes  8.98 GBytes/sec
[  2] 1.1000-1.2000 sec  0.622 GBytes  6.22 GBytes/sec
[  3] 1.2000-1.3000 sec  0.565 GBytes  5.65 GBytes/sec
[  1] 1.2000-1.3000 sec  0.889 GBytes  8.89 GBytes/sec
[  2] 1.2000-1.3000 sec  0.597 GBytes  5.97 GBytes/sec
[  3] 1.3000-1.4000 sec  0.623 GBytes  6.23 GBytes/sec
[  1] 1.3000-1.4000 sec  0.859 GBytes  8.59 GBytes/sec
[  2] 1.3000-1.4000 sec  0.615 GBytes  6.15 GBytes/sec
[  3] 1.4000-1.5000 sec  0.623 GBytes  6.23 GBytes/sec
[  1] 1.4000-1.5000 sec  0.903 GBytes  9.03 GBytes/sec
[  2] 1.4000-1.5000 sec  0.627 GBytes  6.27 GBytes/sec
[  3] 1.5000-1.6000 sec  0.636 GBytes  6.36 GBytes/sec
[  1] 1.5000-1.6000 sec  0.923 GBytes  9.23 GBytes/sec
[  2] 1.5000-1.6000 sec  0.635 GBytes  6.35 GBytes/sec
[  3] 1.6000-1.7000 sec  0.628 GBytes  6.28 GBytes/sec
[  1] 1.6000-1.7000 sec  0.951 GBytes  9.51 GBytes/sec
[  2] 1.6000-1.7000 sec  0.639 GBytes  6.39 GBytes/sec
[  3] 1.7000-1.8000 sec  0.648 GBytes  6.48 GBytes/sec
[  1] 1.7000-1.8000 sec  0.901 GBytes  9.01 GBytes/sec
[  2] 1.7000-1.8000 sec  0.638 GBytes  6.38 GBytes/sec
[  3] 1.8000-1.9000 sec  0.642 GBytes  6.42 GBytes/sec
[  1] 1.8000-1.9000 sec  0.886 GBytes  8.86 GBytes/sec
[  2] 1.8000-1.9000 sec  0.635 GBytes  6.35 GBytes/sec
[  3] 1.9000-2.0000 sec  0.626 GBytes  6.26 GBytes/sec
[  1] 1.9000-2.0000 sec  0.737 GBytes  7.37 GBytes/sec
[  2] 1.9000-2.0000 sec  0.620 GBytes  6.20 GBytes/sec
[  3] 2.0000-2.1000 sec  0.612 GBytes  6.12 GBytes/sec
[  1] 2.0000-2.1000 sec  0.964 GBytes  9.63 GBytes/sec
[  2] 2.0000-2.1000 sec  0.627 GBytes  6.27 GBytes/sec
[  3] 2.1000-2.2000 sec  0.609 GBytes  6.09 GBytes/sec
[  1] 2.1000-2.2000 sec  0.936 GBytes  9.36 GBytes/sec
[  2] 2.1000-2.2000 sec  0.636 GBytes  6.36 GBytes/sec
[  3] 2.2000-2.3000 sec  0.578 GBytes  5.78 GBytes/sec
[  1] 2.2000-2.3000 sec  0.919 GBytes  9.19 GBytes/sec
[  2] 2.2000-2.3000 sec  0.610 GBytes  6.10 GBytes/sec
[  3] 2.3000-2.4000 sec  0.586 GBytes  5.86 GBytes/sec
[  1] 2.3000-2.4000 sec  0.853 GBytes  8.53 GBytes/sec
[  2] 2.3000-2.4000 sec  0.613 GBytes  6.13 GBytes/sec
