------------------------------------------------------------
Server listening on TCP port 5001
TCP congestion control set to vegas
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.4 port 5001 connected with 10.0.0.3 port 42550 (icwnd/mss/irtt=14/1448/2725)
[  2] local 10.0.0.4 port 5001 connected with 10.0.0.2 port 55726 (icwnd/mss/irtt=14/1448/4643)
[  3] local 10.0.0.4 port 5001 connected with 10.0.0.1 port 58116 (icwnd/mss/irtt=14/1448/4774)
[ ID] Interval       Transfer     Bandwidth
[  3] 0.0000-0.1000 sec  0.459 GBytes  4.59 GBytes/sec
[  1] 0.0000-0.1000 sec  0.461 GBytes  4.61 GBytes/sec
[  2] 0.0000-0.1000 sec  0.524 GBytes  5.24 GBytes/sec
[  3] 0.1000-0.2000 sec  0.725 GBytes  7.25 GBytes/sec
[  1] 0.1000-0.2000 sec  0.755 GBytes  7.55 GBytes/sec
[  2] 0.1000-0.2000 sec  0.862 GBytes  8.62 GBytes/sec
[  3] 0.2000-0.3000 sec  0.747 GBytes  7.47 GBytes/sec
[  1] 0.2000-0.3000 sec  0.788 GBytes  7.88 GBytes/sec
[  2] 0.2000-0.3000 sec  0.869 GBytes  8.69 GBytes/sec
[  3] 0.3000-0.4000 sec  0.651 GBytes  6.51 GBytes/sec
[  1] 0.3000-0.4000 sec  0.659 GBytes  6.59 GBytes/sec
[  2] 0.3000-0.4000 sec  0.752 GBytes  7.52 GBytes/sec
[  1] 0.4000-0.5000 sec  0.810 GBytes  8.10 GBytes/sec
[  3] 0.4000-0.5000 sec  0.798 GBytes  7.98 GBytes/sec
[  2] 0.4000-0.5000 sec  0.886 GBytes  8.86 GBytes/sec
[  3] 0.5000-0.6000 sec  0.787 GBytes  7.87 GBytes/sec
[  1] 0.5000-0.6000 sec  0.780 GBytes  7.80 GBytes/sec
[  2] 0.5000-0.6000 sec  0.800 GBytes  8.00 GBytes/sec
[  3] 0.6000-0.7000 sec  0.783 GBytes  7.83 GBytes/sec
[  1] 0.6000-0.7000 sec  0.799 GBytes  7.99 GBytes/sec
[  2] 0.6000-0.7000 sec  0.891 GBytes  8.91 GBytes/sec
[  3] 0.7000-0.8000 sec  0.664 GBytes  6.64 GBytes/sec
[  1] 0.7000-0.8000 sec  0.686 GBytes  6.86 GBytes/sec
[  2] 0.7000-0.8000 sec  0.858 GBytes  8.58 GBytes/sec
[  1] 0.8000-0.9000 sec  0.755 GBytes  7.55 GBytes/sec
[  2] 0.8000-0.9000 sec  0.889 GBytes  8.89 GBytes/sec
[  3] 0.8000-0.9000 sec  0.711 GBytes  7.11 GBytes/sec
[  1] 0.9000-1.0000 sec  0.809 GBytes  8.09 GBytes/sec
[  3] 0.9000-1.0000 sec  0.750 GBytes  7.50 GBytes/sec
[  2] 0.9000-1.0000 sec  0.848 GBytes  8.48 GBytes/sec
[  3] 1.0000-1.1000 sec  0.691 GBytes  6.91 GBytes/sec
[  1] 1.0000-1.1000 sec  0.686 GBytes  6.86 GBytes/sec
[  2] 1.0000-1.1000 sec  0.848 GBytes  8.48 GBytes/sec
[  3] 1.1000-1.2000 sec  0.798 GBytes  7.98 GBytes/sec
[  1] 1.1000-1.2000 sec  0.819 GBytes  8.19 GBytes/sec
[  2] 1.1000-1.2000 sec  0.869 GBytes  8.69 GBytes/sec
[  3] 1.2000-1.3000 sec  0.791 GBytes  7.91 GBytes/sec
[  1] 1.2000-1.3000 sec  0.811 GBytes  8.11 GBytes/sec
[  2] 1.2000-1.3000 sec  0.953 GBytes  9.53 GBytes/sec
[  1] 1.3000-1.4000 sec  0.826 GBytes  8.26 GBytes/sec
[  2] 1.3000-1.4000 sec  0.925 GBytes  9.25 GBytes/sec
[  3] 1.3000-1.4000 sec  0.794 GBytes  7.94 GBytes/sec
[  3] 1.4000-1.5000 sec  0.786 GBytes  7.86 GBytes/sec
[  1] 1.4000-1.5000 sec  0.809 GBytes  8.09 GBytes/sec
[  2] 1.4000-1.5000 sec  0.860 GBytes  8.60 GBytes/sec
[  3] 1.5000-1.6000 sec  0.799 GBytes  7.99 GBytes/sec
[  1] 1.5000-1.6000 sec  0.827 GBytes  8.27 GBytes/sec
[  2] 1.5000-1.6000 sec  0.915 GBytes  9.15 GBytes/sec
[  3] 1.6000-1.7000 sec  0.813 GBytes  8.13 GBytes/sec
[  1] 1.6000-1.7000 sec  0.816 GBytes  8.16 GBytes/sec
[  2] 1.6000-1.7000 sec  0.867 GBytes  8.67 GBytes/sec
[  3] 1.7000-1.8000 sec  0.786 GBytes  7.86 GBytes/sec
